movie,year,runtime,genre,imdb,meta,imdb_votes
The Shawshank Redemption,1994,142 min,Drama,9.3,80,2360495
The Dark Knight,2008,152 min,"Action, Crime, Drama",9.0,84,2319761
Inception,2010,148 min,"Action, Adventure, Sci-Fi",8.8,74,2083710
Fight Club,1999,139 min,Drama,8.8,66,1868351
Pulp Fiction,1994,154 min,"Crime, Drama",8.9,94,1839615
Forrest Gump,1994,142 min,"Drama, Romance",8.8,82,1824422
The Matrix,1999,136 min,"Action, Sci-Fi",8.7,73,1688772
The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama",8.8,92,1672907
The Lord of the Rings: The Return of the King,2003,201 min,"Action, Adventure, Drama",8.9,94,1653351
Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi",8.6,74,1528320
The Dark Knight Rises,2012,164 min,"Action, Adventure",8.4,78,1525646
The Lord of the Rings: The Two Towers,2002,179 min,"Action, Adventure, Drama",8.7,87,1495193
Seven,1995,127 min,"Crime, Drama, Mystery",8.6,65,1457172
Django Unchained,2012,165 min,"Drama, Western",8.4,81,1369223
Gladiator,2000,155 min,"Action, Adventure, Drama",8.5,67,1350359
Batman Begins,2005,140 min,"Action, Adventure",8.2,70,1316216
The Silence of the Lambs,1991,118 min,"Crime, Drama, Thriller",8.6,85,1281537
Inglourious Basterds,2009,153 min,"Adventure, Drama, War",8.3,69,1278853
The Avengers,2012,143 min,"Action, Adventure, Sci-Fi",8.0,69,1267516
Saving Private Ryan,1998,169 min,"Drama, War",8.6,91,1244660
Schindler's List,1993,195 min,"Biography, Drama, History",8.9,94,1221469
The Wolf of Wall Street,2013,180 min,"Biography, Crime, Drama",8.2,75,1202039
The Prestige,2006,130 min,"Drama, Mystery, Sci-Fi",8.5,66,1199425
The Departed,2006,151 min,"Crime, Drama, Thriller",8.5,85,1198539
The Green Mile,1999,189 min,"Crime, Drama, Fantasy",8.6,61,1157527
Shutter Island,2010,138 min,"Mystery, Thriller",8.2,63,1141345
Memento,2000,113 min,"Mystery, Thriller",8.4,80,1132631
Avatar,2009,162 min,"Action, Adventure, Fantasy",7.8,83,1123857
American Beauty,1999,122 min,Drama,8.3,84,1075458
Titanic,1997,194 min,"Drama, Romance",7.8,75,1053543
Guardians of the Galaxy,2014,121 min,"Action, Adventure, Comedy",8.0,76,1050261
Léon,1994,110 min,"Action, Crime, Drama",8.5,64,1043118
American History X,1998,119 min,Drama,8.5,62,1040208
V for Vendetta,2005,132 min,"Action, Drama, Sci-Fi",8.2,62,1038362
Goodfellas,1990,146 min,"Biography, Crime, Drama",8.7,90,1029149
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,"Action, Adventure, Fantasy",8.0,63,1019123
Kill Bill: Vol. 1,2003,111 min,"Action, Crime, Drama",8.1,69,1007224
WALL·E,2008,98 min,"Animation, Adventure, Family",8.4,95,1006801
Terminator 2: Judgment Day,1991,137 min,"Action, Sci-Fi",8.5,75,1000908
The Usual Suspects,1995,106 min,"Crime, Mystery, Thriller",8.5,77,997339
Braveheart,1995,178 min,"Biography, Drama, History",8.3,68,964271
Joker,2019,122 min,"Crime, Drama, Thriller",8.4,59,959718
Finding Nemo,2003,100 min,"Animation, Adventure, Comedy",8.1,90,955118
The Lion King,1994,88 min,"Animation, Adventure, Drama",8.5,88,949295
The Truman Show,1998,103 min,"Comedy, Drama",8.1,90,948018
