movie,rt_critic,rt_audience
Kraftidioten,,
Parental Guidance,18,59
Godsend,4,20
The Man,,
Gretel & Hansel,64,23
Take the Lead,44,77
An American Haunting,14,36
The Professor,10,76
Shark Night 3D,18,22
The Witches,,
From Justin to Kelly,10,39
Bulworth,76,68
Hope Floats,26,72
The Hunting Party,55,67
Universal Soldier: Regeneration,,34
Just Cause,26,46
The Adventures of Pluto Nash,4,19
Wildlife,93,73
The Secret Life of Bees,59,78
Millions,88,78
Frozen River,88,74
She's Funny That Way,44,35
The Ottoman Lieutenant,19,51
Dora and the Lost City of Gold,85,88
Escape from Planet Earth,,
Birthday Girl,59,39
The NeverEnding Story II: The Next Chapter,14,40
A Midsummer Night's Dream,,
Domestic Disturbance,24,37
Fathers & Daughters,28,59
Jawbreaker,13,55
Friend Request,17,28
Mr. Turner,97,56
Dear White People,91,61
Grumpier Old Men,17,62
Midnight Sun,21,55
Honeymoon,76,44
The Book of Henry,22,63
Celebrity,40,42
The Wall,65,42
The Whole Truth,32,33
American Dreamz,38,31
Catch and Release,22,55
Juice,79,90
You're Not You,48,70
City by the Sea,48,40
My Life Without Me,65,87
The Wild,,
Chalet Girl,77,53
Vera Drake,92,84
Before Night Falls,73,84
Barney's Version,78,78
Super Troopers 2,35,64
The Good German,34,33
What Men Want,42,33
Amazing Grace,67,85
Georgia Rule,18,52
Malcolm & Marie,57,67
Obvious Child,90,72
10 Years,60,40
Over Her Dead Body,14,42
Leprechaun,21,32
Monster Hunter,46,70
Crazy/Beautiful,63,69
The Perfect Score,16,44
Suite Française,76,69
The Angels' Share,89,78
The Girl Next Door,67,61
Sennen joyû,,
D-War,,
Fading Gigolo,53,41
All the King's Men,11,40
I.Q.,42,47
Repo! The Genetic Opera,40,73
My Name Is Bruce,38,49
Stormbreaker,35,53
Deck the Halls,6,30
Escape from Pretoria,72,77
Someone Like You...,42,56
Albert Nobbs,56,47
The Art of the Steal,44,39
Crocodile Dundee in Los Angeles,11,25
Buffalo Soldiers,73,72
Let's Go to Prison,13,48
The Shadow,,
Professor Marston and the Wonder Women,87,77
Addicted to Love,55,50
Bloody Sunday,92,91
Welcome to the Rileys,54,58
The Pact,67,41
Tokarev,12,28
Bad Santa 2,24,33
The Vanishing,49,46
The Dyatlov Pass Incident,48,30
Nights in Rodanthe,30,52
Monsoon Wedding,95,87
Fierce Creatures,55,58
An American Werewolf in Paris,7,30
Artemis Fowl,8,20
The Prodigy,42,36
Human Traffic,59,89
Fast Food Nation,49,42
Shopgirl,60,58
Heaven,73,76
The Accidental Husband,6,36
Calendar Girls,74,67
My Spy,48,39
Love & Friendship,96,60
The Christmas Chronicles: Part Two,68,44
Life or Something Like It,28,44
The Pyramid,14,21
Getaway,3,35
Remember,69,79
Surviving Christmas,7,29
Barefoot,17,45
Cooties,45,37
The Ice Harvest,47,43
Eagle vs Shark,55,67
Kazaam,5,20
Shin Gojira,86,74
Rampart,74,35
Calibre,95,74
Spy Kids 4: All the Time in the World,22,37
Flawless,40,53
American Mary,60,52
Street Fighter: The Legend of Chun-Li,5,18
The Contender,76,73
Needful Things,28,44
3 Men and a Little Lady,35,43
Second Act,43,43
Død snø 2,,
Memoirs of an Invisible Man,24,32
On the Rocks,87,50
